broadcast_id,event_date,sport,network,country,duration_minutes,live_viewers,peak_viewers,ad_revenue_usd,stream_quality
43,2025-06-07,Football,Arena TV,USA,90,3108918,4145638,226729.36,Full HD
50,2025-06-10,Baseball,SportsNet,Australia,180,3710737,4063403,194571.08,HD
80,2025-06-16,Basketball,Arena TV,UK,120,1575383,2268803,69519.28,4K
52,2025-06-19,Football,Arena TV,Canada,120,2683315,3578056,151438.58,Full HD
48,2025-06-29,Baseball,Arena TV,India,60,4323204,6219011,164184.42,Full HD
5,2025-07-03,Football,Global Sports,Canada,60,2935309,4363506,153401.66,Full HD
8,2025-07-06,Cricket,Arena TV,India,180,1414441,1863510,50796.35,4K
73,2025-07-08,Football,Prime Sports,UK,60,1457517,1879238,76392.09,Full HD
46,2025-07-15,Cricket,Prime Sports,Australia,120,374845,432044,26277.21,HD
53,2025-07-26,Cricket,Global Sports,Australia,90,2530135,3308802,123493.04,Full HD
33,2025-07-26,Baseball,Prime Sports,Canada,180,1055681,1076658,80138.57,HD
54,2025-07-27,Basketball,Arena TV,USA,150,4646430,6471916,317633.49,4K
34,2025-08-03,Basketball,Arena TV,USA,120,4946198,5536491,245162.68,Full HD
100,2025-08-15,Baseball,Global Sports,Australia,60,2383346,2943444,54112.06,Full HD
30,2025-08-21,Baseball,Global Sports,USA,90,2442843,2805248,96762.29,HD
16,2025-08-21,Basketball,Star Play,USA,180,77223,112460,5928.19,4K
94,2025-08-29,Basketball,Arena TV,Australia,60,2493260,3350174,30629.18,Full HD
29,2025-09-04,Football,Prime Sports,Australia,60,1843042,2751024,129981.51,Full HD
78,2025-09-05,Baseball,Arena TV,UK,90,3949643,5590188,159921.89,HD
24,2025-09-06,Baseball,Star Play,Australia,90,1847148,2571802,88194.62,Full HD
13,2025-09-18,Football,SportsNet,USA,90,4189910,5849280,68562.26,Full HD
2,2025-10-07,Football,SportsNet,India,90,779295,869950,40004.7,4K
44,2025-10-14,Cricket,Prime Sports,USA,90,3458940,4983322,270380.47,HD
12,2025-10-15,Baseball,Global Sports,Canada,150,4571269,5398660,129787.07,HD
74,2025-10-22,Cricket,SportsNet,Canada,90,3198302,3361257,120786.47,Full HD
99,2025-10-22,Basketball,Star Play,India,90,4975144,6145548,380872.35,4K
31,2025-10-24,Basketball,SportsNet,India,180,4598263,5694462,65603.56,4K
86,2025-10-29,Football,Prime Sports,UK,90,4450973,5254108,230450.69,Full HD
14,2025-11-02,Baseball,Global Sports,Canada,120,582909,865934,21528.99,HD
98,2025-11-03,Basketball,Star Play,UK,60,384376,401927,27774.86,4K
61,2025-11-10,Baseball,Global Sports,USA,150,4284386,5248522,170826.41,HD
95,2025-11-17,Cricket,Global Sports,India,180,4997513,5559257,281274.09,HD
90,2025-11-19,Baseball,Arena TV,India,90,499705,529300,10304.36,Full HD
23,2025-11-20,Football,Arena TV,India,180,543868,608589,14154.67,4K
62,2025-11-23,Baseball,Global Sports,USA,120,2376256,2898880,151146.42,4K
88,2025-11-23,Football,Star Play,UK,150,4167788,5165377,71607.33,Full HD
1,2025-11-24,Basketball,Prime Sports,USA,90,983912,1346223,11561.71,4K
7,2025-12-05,Football,Prime Sports,India,150,1961749,2234406,125777.11,4K
15,2025-12-15,Baseball,Arena TV,UK,60,1010929,1159282,58350.54,HD
75,2025-12-17,Baseball,SportsNet,UK,180,1065483,1293697,70040.49,Full HD
83,2025-12-21,Baseball,Arena TV,Australia,180,2090991,2646067,65729.09,Full HD
64,2025-12-22,Football,Global Sports,Australia,120,1331823,1693153,79176.0,Full HD
51,2025-12-29,Baseball,Prime Sports,UK,150,3707915,3837643,37518.13,4K
